UF;MUNICIPIO;POPULACAO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
RS;COQUEIROS DO SUL;2497;1405;711;0;121;7;160;17;0;0;6;351;8;12;0;4;7;0;1;0;0;0;0
RS;CORONEL BARROS;2546;1403;796;0;108;10;163;32;0;0;0;241;14;9;0;14;10;0;1;0;2;0;3
RS;CORONEL BICACO;7885;3262;1868;0;217;24;274;61;0;0;19;644;64;23;0;39;21;0;2;0;1;0;5
RS;CORONEL PILAR;1754;886;466;0;204;7;99;9;0;0;8;67;5;10;0;5;6;0;0;0;0;0;0
RS;COTIPORA;4019;2377;1361;0;229;6;322;51;0;1;10;296;55;13;0;19;3;0;1;0;0;0;10
RS;COXILHA;2895;1687;909;0;116;63;228;30;0;0;6;209;12;15;0;21;66;0;3;0;1;0;8
RS;CRISSIUMAL;14360;8516;4350;0;332;30;494;142;0;1;18;2728;230;48;0;78;33;0;7;1;6;0;18
RS;CRISTAL;7659;3390;1845;0;200;88;221;53;0;0;10;723;28;40;0;73;93;1;1;0;6;1;7
RS;CRISTAL DO SUL;2915;1161;563;0;40;14;61;17;0;0;9;392;19;18;0;6;20;0;0;0;0;0;2
RS;CRUZ ALTA;64126;32280;18924;0;1198;374;2825;797;0;14;95;5833;735;126;0;548;646;3;17;0;14;2;129
RS;CRUZALTENSE;2136;1128;664;0;60;6;92;20;0;0;7;258;5;8;0;2;5;0;0;0;0;0;1
RS;CRUZEIRO DO SUL;12876;8155;4433;0;431;59;470;208;0;7;15;1653;491;19;0;243;62;1;9;0;27;1;26
RS;DAVID CANABARRO;4834;3091;1809;0;169;43;275;48;0;0;12;586;44;29;0;13;55;0;4;0;0;0;4
RS;DERRUBADAS;3199;1259;622;0;84;0;78;18;0;0;13;419;6;12;0;4;0;0;2;0;0;0;1
RS;DEZESSEIS DE NOVEMBRO;2853;1111;553;0;55;18;88;13;0;0;4;324;19;8;0;8;20;1;0;0;0;0;0
RS;DILERMANDO DE AGUIAR;3144;903;471;0;47;3;83;17;0;0;1;216;10;29;0;19;2;0;1;0;4;0;0
RS;DOIS IRMAOS;29528;16202;11010;0;479;46;819;613;0;6;29;2047;402;117;0;441;44;1;15;0;30;2;101
RS;DOIS IRMAOS DAS MISSOES;2192;917;519;0;68;6;85;20;1;0;10;177;7;6;0;9;6;0;0;0;0;0;3
RS;DOIS LAJEADOS;3403;2015;1360;0;136;17;145;29;0;0;3;237;32;17;0;21;11;1;0;0;2;0;4
