UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
BA;ABAIRA;1518;617;0;54;0;181;19;0;0;23;570;34;16;0;1;0;0;0;0;0;0;3
BA;ABARE;2062;456;0;55;0;179;15;0;0;33;1248;39;25;0;8;1;0;0;0;0;2;1
BA;ACAJUTIBA;2039;591;0;75;0;124;32;0;0;17;983;186;18;0;11;0;0;0;0;0;1;1
BA;ADUSTINA;1325;214;0;14;0;50;5;0;0;7;888;133;11;0;0;0;0;0;0;0;2;1
BA;AGUA FRIA;1626;566;0;25;0;76;34;0;0;21;820;34;40;0;6;0;0;0;0;0;0;4
BA;AIQUARA;392;135;0;5;0;37;15;0;0;5;182;4;6;0;3;0;0;0;0;0;0;0
BA;ALAGOINHAS;45975;20690;0;1325;215;3043;1085;11;5;322;13202;4128;551;1;719;319;5;0;0;0;34;320
BA;ALCOBACA;3067;966;0;49;1;285;38;0;1;8;1340;290;32;0;44;1;0;0;0;0;3;9
BA;ALMADINA;504;244;0;15;0;40;12;0;0;2;171;10;6;0;3;0;0;0;0;0;1;0
BA;AMARGOSA;8070;3350;0;263;12;646;183;0;0;71;2965;400;84;0;50;13;0;0;0;0;5;28
BA;AMELIA RODRIGUES;4974;1983;0;199;77;224;201;0;0;117;1515;469;36;0;64;81;1;0;0;1;2;4
BA;AMERICA DOURADA;1541;625;0;31;0;103;6;0;0;20;697;43;10;0;4;0;0;0;0;0;1;1
BA;ANAGE;2026;787;0;99;3;171;28;0;1;74;754;48;47;0;11;1;0;0;0;0;0;2
BA;ANDARAI;1051;314;0;35;0;91;16;0;0;7;531;27;21;0;6;0;0;0;0;0;1;2
BA;ANDORINHA;2178;742;0;77;6;228;17;0;0;16;992;36;52;0;6;5;0;0;0;0;0;1
BA;ANGICAL;1572;413;0;33;6;160;9;0;0;11;836;64;23;0;11;4;0;0;0;0;1;1
BA;ANGUERA;939;291;0;21;2;46;37;0;0;6;491;22;14;0;7;2;0;0;0;0;0;0
