UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PE;OROBO;5080;1852;0;193;7;375;129;0;0;210;2094;121;66;0;9;15;0;0;0;0;0;9
PE;OROCO;2679;526;0;83;0;150;7;0;0;1;1841;42;14;0;13;1;0;0;0;0;1;0
PE;OURICURI;19554;4163;0;688;38;1212;158;0;11;31;12336;534;98;0;173;57;4;0;0;0;2;49
PE;PALMARES;18583;6140;0;530;41;768;204;0;11;89;8389;1426;195;0;671;55;0;1;0;0;16;47
PE;PALMEIRINA;1165;320;0;23;0;62;6;0;0;17;666;52;7;0;3;6;0;0;0;0;3;0
PE;PANELAS;3416;1533;0;96;2;307;63;0;0;69;1031;233;21;0;48;8;0;0;0;0;1;4
PE;PARANATAMA;2017;683;0;100;5;146;12;0;0;26;947;62;19;0;3;14;0;0;0;0;0;0
PE;PARNAMIRIM;4358;920;0;223;5;231;28;0;0;8;2761;130;20;0;22;8;0;0;0;0;1;1
PE;PASSIRA;5866;1598;0;240;6;365;114;0;1;113;3171;179;27;0;33;8;0;0;0;0;2;9
PE;PAUDALHO;11001;4043;0;624;46;519;372;0;0;37;4920;212;75;0;78;53;0;0;0;0;5;17
PE;PAULISTA;85777;51999;0;1577;204;3396;3817;0;38;331;22126;689;305;0;713;322;5;1;0;1;35;218
PE;PEDRA;3104;1091;0;166;1;332;48;0;1;48;1323;48;19;0;12;8;0;0;0;0;5;2
PE;PESQUEIRA;16048;5835;0;767;72;1205;267;0;3;101;6537;842;131;0;108;144;0;1;0;0;5;30
PE;PETROLANDIA;7899;2482;0;294;14;676;70;0;1;10;3754;421;69;0;63;29;0;0;0;0;2;14
PE;PETROLINA;113517;41512;0;3897;230;8997;1789;7;63;280;47646;5784;458;0;1508;859;14;1;0;2;30;440
PE;POCAO;3114;714;0;60;0;173;23;0;0;32;1985;99;13;0;13;0;0;0;0;0;0;2
PE;POMBOS;6136;2104;0;565;37;497;81;0;0;48;2234;412;46;0;61;28;0;0;0;0;3;20
PE;PRIMAVERA;1462;587;0;76;1;87;21;0;0;14;472;41;35;0;120;1;0;0;0;0;1;6
PE;QUIPAPA;2274;834;0;96;2;155;43;0;0;32;951;89;43;0;15;10;0;0;0;0;0;4
